Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
VB,1.470,,,,,,,,,,,,,,
PSK,1.469,,,,,,,,,,,,,,
SCHE,1.469,,,,,,,,,,,,,,
KBWB,1.467,,,,,,,,,,,,,,
HYD,1.466,,,,,,,,,,,,,,
COW,1.460,,,,,,,,,,,,,,
UKK,1.459,,,,,,,,,,,,,,
MINT,1.458,,,,,,,,,,,,,,
ZSL,1.456,,,,,,,,,,,,,,
CVOL,1.454,,,,,,,,,,,,,,
CARZ,1.453,,,,,,,,,,,,,,
UBN,1.450,,,,,,,,,,,,,,
DBEF,1.450,,,,,,,,,,,,,,
PBJ,1.449,,,,,,,,,,,,,,
DEE,1.448,,,,,,,,,,,,,,
GXG,1.447,,,,,,,,,,,,,,
VBR,1.447,,,,,,,,,,,,,,
GRI,1.447,,,,,,,,,,,,,,
IWB,1.446,,,,,,,,,,,,,,
SEA,1.445,,,,,,,,,,,,,,
ERUS,1.441,,,,,,,,,,,,,,
CUPM,1.438,,,,,,,,,,,,,,
SCHD,1.436,,,,,,,,,,,,,,
VTV,1.435,,,,,,,,,,,,,,
FCA,1.434,,,,,,,,,,,,,,
MLPA,1.434,,,,,,,,,,,,,,
CEW,1.432,,,,,,,,,,,,,,
MORT,1.432,,,,,,,,,,,,,,
VIS,1.432,,,,,,,,,,,,,,
VPU,1.431,,,,,,,,,,,,,,
TECL,1.431,,,,,,,,,,,,,,
RHM,1.430,,,,,,,,,,,,,,
TSXV,1.427,,,,,,,,,,,,,,
JPNL,1.424,,,,,,,,,,,,,,
VCSH,1.422,,,,,,,,,,,,,,
FLN,1.419,,,,,,,,,,,,,,
EMSA,1.419,,,,,,,,,,,,,,
YXI,1.419,,,,,,,,,,,,,,
FAN,1.417,,,,,,,,,,,,,,
REMX,1.417,,,,,,,,,,,,,,
EIDO,1.416,,,,,,,,,,,,,,
IVW,1.416,,,,,,,,,,,,,,
BSV,1.414,,,,,,,,,,,,,,
IGOV,1.413,,,,,,,,,,,,,,
MLPG,1.413,,,,,,,,,,,,,,
CHOC,1.411,,,,,,,,,,,,,,
BDCS,1.410,,,,,,,,,,,,,,
HDV,1.408,,,,,,,,,,,,,,
AAXJ,1.408,,,,,,,,,,,,,,
FGD,1.406,,,,,,,,,,,,,,
VDC,1.406,,,,,,,,,,,,,,
PJP,1.406,,,,,,,,,,,,,,
VNQI,1.405,,,,,,,,,,,,,,
DNL,1.402,,,,,,,,,,,,,,
RCD,1.401,,,,,,,,,,,,,,
QMN,1.401,,,,,,,,,,,,,,
VGIT,1.400,,,,,,,,,,,,,,
REZ,1.399,,,,,,,,,,,,,,
BIV,1.398,,,,,,,,,,,,,,
JKK,1.395,,,,,,,,,,,,,,
FDIS,1.395,,,,,,,,,,,,,,
DEM,1.394,,,,,,,,,,,,,,
UYG,1.392,,,,,,,,,,,,,,
IAI,1.391,,,,,,,,,,,,,,
VGSH,1.390,,,,,,,,,,,,,,
ANGL,1.390,,,,,,,,,,,,,,
GRN,1.390,,,,,,,,,,,,,,
GURU,1.390,,,,,,,,,,,,,,
MIDU,1.388,,,,,,,,,,,,,,
RHS,1.387,,,,,,,,,,,,,,
VLU,1.385,,,,,,,,,,,,,,
VV,1.385,,,,,,,,,,,,,,
FIO,1.384,,,,,,,,,,,,,,
YAO,1.384,,,,,,,,,,,,,,
FPE,1.383,,,,,,,,,,,,,,
PRFZ,1.383,,,,,,,,,,,,,,
HYEM,1.382,,,,,,,,,,,,,,
